53Y	CHEMBL555751
IGN	CHEMBL114715
FKZ	CHEMBL1160509
29E	CHEMBL1175
PGA	CHEMBL47181
IHE	CHEMBL363847
RAP	CHEMBL413
TXL	CHEMBL92
Z70	CHEMBL1099168
AX5	CHEMBL566948
5BX	CHEMBL417852
5RM	CHEMBL603830
AJN	CHEMBL123325
YPA	CHEMBL86658
KOT	CHEMBL601227
QNB	CHEMBL558910
C3P	CHEMBL258728
NCZ	CHEMBL291386
GAN	CHEMBL506279
8KL	CHEMBL1187414
DHQ	CHEMBL125200
AT4	CHEMBL335206
R48	CHEMBL569943
NOK	CHEMBL382689
DYH	CHEMBL221142
LHJ	CHEMBL1091199
FBP	CHEMBL97893
0MV	CHEMBL479914
ARF	CHEMBL266160
GG2	CHEMBL231779
CHT	CHEMBL920
ABV	CHEMBL329785
242	CHEMBL385937
9DG	CHEMBL367746
BZ2	CHEMBL84095
DRD	CHEMBL216395
SCJ	CHEMBL249530
3CJ	CHEMBL1518
K83	CHEMBL457782
VA1	CHEMBL235073
IS8	CHEMBL1161685
3NA	CHEMBL363387
TLM	CHEMBL399043
3RG	CHEMBL443231
CTF	CHEMBL408967
K25	CHEMBL376505
QIG	CHEMBL537968
SGV	CHEMBL101892
40F	CHEMBL8759
C61	CHEMBL562634
TFO	CHEMBL483
GCH	CHEMBL411070
1U9	CHEMBL551628
PFJ	CHEMBL219445
AC0	CHEMBL274467
CMP	CHEMBL316966
FSP	CHEMBL185097
BVF	CHEMBL40833
A2P	CHEMBL1161861
N8T	CHEMBL129108
259	CHEMBL459036
01U	CHEMBL328540
CNV	CHEMBL15871
5E4	CHEMBL23827
2CZ	CHEMBL538458
5CZ	CHEMBL289577
TFA	CHEMBL506259
TTB	CHEMBL275311
5CA	CHEMBL1163074
ED4	CHEMBL385072
7ZR	CHEMBL134915
PN6	CHEMBL1096380
EDG	CHEMBL406973
OEF	CHEMBL289343
C14	CHEMBL135488
G37	CHEMBL443355
W8R	CHEMBL55483
IHD	CHEMBL1233571
BTD	CHEMBL1231486
PA7	CHEMBL1235128
TX1	CHEMBL1236450
TZE	CHEMBL1236482
3RE	CHEMBL1614778
OAS	CHEMBL1234916
ZIG	CHEMBL1236962
SPR	CHEMBL453514
EPE	CHEMBL1232545
BCD	CHEMBL415690
F6Y	CHEMBL1614944
WGZ	CHEMBL1615278
O4G	CHEMBL1393363
JWS	CHEMBL1327043
E27	CHEMBL1271639
AXT	CHEMBL1255871
FTV	CHEMBL2252703
2F5	CHEMBL3086091
1C0	CHEMBL3121194
1NW	CHEMBL3121219
1VO	CHEMBL3128022
1QE	CHEMBL3128241
8YP	CHEMBL2228377
50B	CHEMBL3139982
4MH	CHEMBL3093755
9CM	CHEMBL3140306
3YD	CHEMBL3086865
NUD	CHEMBL3086883
2EU	CHEMBL3113992
07V	CHEMBL2229268
2LC	CHEMBL3104858
2VK	CHEMBL3124953
1XT	CHEMBL3088229
V6F	CHEMBL3108877
QD0	CHEMBL3108879
UW1	CHEMBL3109011
O2N	CHEMBL3125908
N8P	CHEMBL3137742
MB7	CHEMBL3099282
XXK	CHEMBL3109185
2S6	CHEMBL3126187
601	CHEMBL3091865
1YW	CHEMBL3109785
4TH	CHEMBL3601317
B7S	CHEMBL3604316
XR1	CHEMBL3609327
4PV	CHEMBL3609328
3T2	CHEMBL3622724
4XS	CHEMBL3622905
VFV	CHEMBL3629567
4D5	CHEMBL3580755
4LH	CHEMBL3601223
4V8	CHEMBL3604847
5A0	CHEMBL3613789
4J9	CHEMBL3590186
51E	CHEMBL3603923
A0Q	CHEMBL3604124
44L	CHEMBL3614058
44Q	CHEMBL3614084
44K	CHEMBL3614113
5B8	CHEMBL3623623
IA7	CHEMBL3632777
TZ0	CHEMBL3701238
78J	CHEMBL3590388
I37	CHEMBL3605413
BC5	CHEMBL3632831
JJH	CHEMBL3707376
3VQ	CHEMBL3581506
3VR	CHEMBL3581508
UET	CHEMBL3608989
EH1	CHEMBL3593500
WLH	CHEMBL3593716
55Y	CHEMBL3622209
2LO	CHEMBL3622373
362	CHEMBL3628368
4EK	CHEMBL3582439
12V	CHEMBL3596221
9XE	CHEMBL3741741
8HK	CHEMBL3763387
4KG	CHEMBL3763404
8HE	CHEMBL3763508
1TC	CHEMBL3753249
E8G	CHEMBL3763918
BX4	CHEMBL3763967
57P	CHEMBL3814575
L96	CHEMBL3814634
6BF	CHEMBL3824068
57U	CHEMBL3735431
3KX	CHEMBL3742313
72D	CHEMBL3764182
5U8	CHEMBL3774747
FF8	CHEMBL3774784
82O	CHEMBL3774855
57C	CHEMBL3785935
T20	CHEMBL3735719
89S	CHEMBL3753862
6Q7	CHEMBL3815166
RZM	CHEMBL3786370
69T	CHEMBL3805931
U06	CHEMBL3827532
F45	CHEMBL3827618
5O1	CHEMBL3808500
TQU	CHEMBL3818493
5S9	CHEMBL3818519
45E	CHEMBL3827954
6LF	CHEMBL3828009
5N3	CHEMBL3758602
EB8	CHEMBL3780234
5UH	CHEMBL3808980
LNX	CHEMBL3809104
6MB	CHEMBL3828532
8E8	CHEMBL3747532
5NW	CHEMBL3809252
TVU	CHEMBL3769688
L6I	CHEMBL3819587
55D	CHEMBL3759276
5LO	CHEMBL3781132
5TU	CHEMBL3822498
GD5	CHEMBL3822543
QS5	CHEMBL3752054
5XE	CHEMBL3770173
N5J	CHEMBL3770256
5SU	CHEMBL3781319
4ZO	CHEMBL3799875
34Y	CHEMBL3810133
LNY	CHEMBL3810161
6BB	CHEMBL3822876
59T	CHEMBL3770443
58R	CHEMBL3781863
6BJ	CHEMBL3823306
IMX	CHEMBL1083943
234	CHEMBL117869
1GB	CHEMBL191476
BQM	CHEMBL478464
BEC	CHEMBL573887
UN1	CHEMBL88804
7X6	CHEMBL496574
3QO	CHEMBL357322
HCC	CHEMBL129795
GB6	CHEMBL476925
FLN	CHEMBL275638
L8P	CHEMBL152
NIX	CHEMBL5
TCH	CHEMBL224867
TCR	CHEMBL155546
D59	CHEMBL217893
C	CHEMBL307679
65S	CHEMBL1162543
GD9	CHEMBL521851
NFX	CHEMBL113334
19F	CHEMBL370962
VPX	CHEMBL493982
PLQ	CHEMBL8320
13D	CHEMBL174324
AZM	CHEMBL20
KX7	CHEMBL258405
NWD	CHEMBL121191
XM5	CHEMBL492762
ND7	CHEMBL583986
BEN	CHEMBL20936
VGM	CHEMBL600441
BMU	CHEMBL87277
06C	CHEMBL115849
5AT	CHEMBL319447
588	CHEMBL549752
J88	CHEMBL549385
W71	CHEMBL283639
23I	CHEMBL387771
NCQ	CHEMBL82008
41Q	CHEMBL58832
972	CHEMBL62492
IM4	CHEMBL406819
MUA	CHEMBL34921
65K	CHEMBL178387
H71	CHEMBL200102
N5T	CHEMBL380955
H7Y	CHEMBL193598
SZL	CHEMBL305107
ILV	CHEMBL27266
69O	CHEMBL1162544
SIM	CHEMBL1201391
UN9	CHEMBL426560
ZEA	CHEMBL525239
PFT	CHEMBL514290
12B	CHEMBL217045
26C	CHEMBL122055
BHP	CHEMBL1084102
MOH	CHEMBL14688
A13	CHEMBL504181
CIB	CHEMBL304784
P5P	CHEMBL96862
FLU	CHEMBL177756
8P0	CHEMBL279564
C27	CHEMBL239857
GDG	CHEMBL228228
JNJ	CHEMBL398870
HYP	CHEMBL352418
CE3	CHEMBL1730
E7Y	CHEMBL15848
GK6	CHEMBL476351
XIX	CHEMBL56973
Z96	CHEMBL601202
6SL	CHEMBL83103
283	CHEMBL243024
NEA	CHEMBL563938
RCP	CHEMBL208943
RUT	CHEMBL226335
GK1	CHEMBL237127
G34	CHEMBL1658
MZ4	CHEMBL472844
DHL	CHEMBL602
DGL	CHEMBL76232
SU6	CHEMBL274654
D12	CHEMBL30959
3GC	CHEMBL460831
68P	CHEMBL1508
LMS	CHEMBL471144
GBJ	CHEMBL480477
F23	CHEMBL1173462
BXB	CHEMBL465952
ML2	CHEMBL289233
6YP	CHEMBL150043
DTT	CHEMBL406270
83G	CHEMBL337301
3BE	CHEMBL522157
I5S	CHEMBL227381
SAU	CHEMBL417799
A7B	CHEMBL453417
7DP	CHEMBL137743
XFE	CHEMBL1173273
A2K	CHEMBL409661
FEP	CHEMBL1161222
PML	CHEMBL1235351
D1B	CHEMBL1232046
DTG	CHEMBL1232385
OXN	CHEMBL1235043
MMU	CHEMBL1234380
1MM	CHEMBL1229749
273	CHEMBL1229853
J71	CHEMBL1233725
O29	CHEMBL1234891
PY7	CHEMBL1235528
VTQ	CHEMBL1223852
TY4	CHEMBL1236463
MCY	CHEMBL1234242
C21	CHEMBL1222314
S52	CHEMBL1235803
BZ1	CHEMBL220491
CTO	CHEMBL1222017
PB2	CHEMBL1235146
4JL	CHEMBL1224554
E13	CHEMBL1232433
TTF	CHEMBL1236433
